2025-10-25 08:17:34 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-10-25 08:17:34 [main] INFO  c.a.r.a.RateAndReviewServiceApplication - Starting RateAndReviewServiceApplication using Java 17.0.11 with PID 13492 (E:\Practice\Micro Services\rate-and-review-service\target\classes started by mdala in E:\Practice\Micro Services\rate-and-review-service)
2025-10-25 08:17:34 [main] INFO  c.a.r.a.RateAndReviewServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-25 08:17:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-10-25 08:17:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 114 ms. Found 1 MongoDB repository interface.
2025-10-25 08:17:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8282 (http)
2025-10-25 08:17:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8282"]
2025-10-25 08:17:38 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-25 08:17:38 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-10-25 08:17:38 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-25 08:17:38 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3660 ms
